id,lang_bg,lang_cs,lang_de,lang_el,lang_en,lang_es,lang_et,lang_fr,lang_hr,lang_hu,lang_it,lang_lt,lang_lv,lang_nl,lang_pl,lang_ro,lang_sk,lang_sl,name
f31eeba6-ac4a-459e-915e-8fcdef24ddc3,Výchozí typ případu,Výchozí typ případu,Výchozí typ případu,Výchozí typ případu,Výchozí typ případu,Výchozí typ případu,Výchozí typ případu,Výchozí typ případu,Výchozí typ případu,Výchozí typ případu,Výchozí typ případu,Výchozí typ případu,Výchozí typ případu,Výchozí typ případu,Výchozí typ případu,Výchozí typ případu,Výchozí typ případu,Výchozí typ případu,Výchozí typ případu
93b3a980-557d-417c-b88b-4fac3c12f18f,Pending,Nový Případ,Anlegen eines Falls,Σε εκκρεμότητα,Pending,Pending,Pending,En attente,Novi slučaj,Függőben,Pending,Pending,Pending,Pending,Nowe zgłoszenie,În aşteptare,Čakajúce,V teku,Nový Případ
5b9a31a8-989e-4ff6-974d-20e0c06f1c3e,,Zákazník neodpovídá,,,,,,,,,,,,,,,,,Zákazník neodpovídá
20bae015-bf19-431b-b8aa-6f34ae3845eb,,Zboží je funkční,,,,,,,,,,,,,,,,,Zboží je funkční
95e8ff97-d2d7-4bdc-a4d3-4687ca8c9fb7,,Duplicitní případ,,,,,,,,,,,,,,,,,Duplicitní případ
c2c83b38-095c-4a6f-8cd4-40ba5f5722f0,,Zákazník poslal sám,,,,,,,,,,,,,,,,,Zákazník poslal sám
ede5e2c9-e06a-46f3-86a6-b997aca70be9,,Ne - nepotřebujeme zaslat zpět a ověřujeme adresu,,,,,,,,,,,,,,,,,Ne - nepotřebujeme zaslat zpět a ověřujeme adresu
c69eda66-7775-4d5f-a2cf-6ce5eb780d8c,Waiting for goods,Ano - objednali jsme dopravu,Waiting for goods,Εν αναμονή των εμπορευμάτων,Waiting for goods,Waiting for goods,Waiting for goods,En attente de marchandises,Waiting for goods,Csomagra várva,Waiting for goods,Waiting for goods,Waiting for goods,Waiting for goods,Czekam na produkt,Așteptând produsele,Čakanie na tovar,Čakanje na izdelke,Ano - objednali jsme dopravu
40ce2b3e-e2ba-49e7-895c-2d5d1f5a911e,,Ne - nechceme zpět a děláme fakturu,,,,,,,,,,,,,,,,,Ne - nechceme zpět a děláme fakturu
3669693f-bae8-47e2-ad41-b3ef6e6fc015,Goods received,Balíček dorazil k nám,Goods received,Τα εμπορεύματα παραλήφθηκαν,Goods received,Goods received,Goods received,Produits reçus,Goods received,Csomag megérkezett,Goods received,Goods received,Goods received,Goods received,Produkt otrzymany,Produse primite,Tovar prijatý,Izdelki so prispeli,Balíček dorazil k nám
7b776300-18eb-43da-ac44-b09c5ed4b8b0,,Ověřili jsme adresu,,,,,,,,,,,,,,,,,Ověřili jsme adresu
dbfb20e7-29cf-41bb-8e4a-c68e8129db70,,Osobně na prodejně,,,,,,,,,,,,,,,,,Osobně na prodejně
7700e647-6175-498d-b1b4-3cf952d038b6,,Zboží je nachystáno v polici na výměnu,,,,,,,,,,,,,,,,,Zboží je nachystáno v polici na výměnu
675a7865-93f5-46eb-a950-b23a562233ef,Authorized - Sending goods,Uznáno -  posíláme nový kus,Authorized - Sending goods,Εγκρίθηκε - Αποστολή εμπορευμάτων,Authorized - Sending goods,Authorized - Sending goods,Authorized - Sending goods,Autorisé - Envoi des marchandises,Authorized - Sending goods,Jóváhagyva - Termék csere,Authorized - Sending goods,Authorized - Sending goods,Authorized - Sending goods,Authorized - Sending goods,Akceptacja - wysyłka towaru,Autorizat - Trimitere produse,Autorizovaný-zasielanie tovaru,Odobreno- Pošiljanje izdelkov,Uznáno -  posíláme nový kus
d14614d3-88bc-4bd0-91ca-307634644e49,Authorized - Goods fixed,Uznáno - výměna za jiné zboží,Authorized - Goods fixed,Εγκρίθηκε - Εμπορεύματα επιδιορθώθηκαν,Authorized - Goods fixed,Authorized - Goods fixed,Authorized - Goods fixed,Autorisé - Marchandises fixées,Authorized - Goods fixed,Jóváhagyva - Termékek megjavítva,Authorized - Goods fixed,Authorized - Goods fixed,Authorized - Goods fixed,Authorized - Goods fixed,Akceptacja - naprawa produktu,Autorizat - Bunuri reparate,Autorizovaný tovar stanovený,Odobreno- blago je določeno,Uznáno - výměna za jiné zboží
b2022636-f909-445f-894b-38509b70a1cc,,Uznáno - vyměněno na prodejně,,,,,,,,,,,,,,,,,Uznáno - vyměněno na prodejně
